Citi,Country,Latitude,Longitude,Date,Maximum_Temp,Current_Temp,Humidity,Wind_Speed,Clouds
Tual,ID,-5.67,132.75,1585506795,28.55,28.55,71,1.06,28
El Salvador,SV,13.83,-88.92,1585506795,33.0,31.7,52,4.6,40
Tuatapere,NZ,-46.13,167.68,1585506795,8.33,8.33,90,0.89,7
Yudong,CN,29.39,106.52,1585506796,11.67,11.09,87,3.0,40
São João da Barra,BR,-21.64,-41.05,1585506777,30.0,30.0,51,5.1,20
Rio Grande,BR,-32.03,-52.1,1585506519,31.0,31.0,48,3.6,31
Beringovskiy,RU,63.05,179.32,1585506570,-6.34,-6.34,92,8.01,65
Mandalgovi,MN,45.76,106.27,1585506796,1.0,1.0,35,3.26,100
Mozarlândia,BR,-14.74,-50.57,1585506796,30.44,30.44,60,2.52,74
Ahipara,NZ,-35.17,173.17,1585506796,15.52,15.52,79,3.15,2
San Carlos del Zulia,VE,9.0,-71.91,1585506797,34.57,34.57,40,3.23,22
Sandwick,GB,60.0,-1.25,1585506797,7.0,6.56,70,4.6,63
Charlestown,AU,-32.95,151.67,1585506797,19.44,18.26,93,1.5,90
Katsuura,JP,35.13,140.3,1585506789,6.0,5.48,75,5.1,75
Yinchuan,CN,38.47,106.27,1585506639,9.6,9.6,26,0.97,98
Zharkent,KZ,44.16,80.0,1585506797,6.07,6.07,41,0.65,0
Conceição do Araguaia,BR,-8.26,-49.26,1585506797,33.0,33.0,52,4.1,64
Valley City,US,46.92,-98.0,1585506797,9.0,8.02,49,4.6,1
Birao,CF,10.28,22.79,1585506744,31.78,31.78,11,2.69,52
Kangaatsiaq,GL,68.31,-53.46,1585506798,-2.05,-2.05,98,4.53,100
Tacoronte,ES,28.48,-16.41,1585506798,20.0,15.82,77,3.6,75
Tougue,GN,11.47,-11.6,1585506798,33.17,33.17,18,2.77,37
Cidreira,BR,-30.18,-50.21,1585506735,26.81,26.81,65,4.6,35
Comodoro Rivadavia,AR,-45.87,-67.5,1585506798,17.0,17.0,51,3.6,20
Soledad,CO,10.92,-74.76,1585506798,33.0,32.45,52,6.7,4
Bay Roberts,CA,47.6,-53.26,1585506612,0.0,-1.04,100,12.3,90
Ames,US,42.03,-93.62,1585506626,12.22,10.85,57,12.9,90
Kontagora,NG,10.4,5.47,1585506625,36.4,36.4,19,1.45,97
Moose Factory,CA,51.26,-80.61,1585506799,1.0,1.0,74,6.2,1
Half Moon Bay,US,37.46,-122.43,1585506799,15.0,12.31,82,4.6,75
Eureka,US,40.8,-124.16,1585506799,14.44,13.06,62,5.7,90
Sharkan,RU,57.3,53.87,1585506799,2.33,2.33,89,4.99,100
Hauterive,FR,46.09,3.45,1585506622,5.0,3.14,93,1.5,75
Villamontes,BO,-21.25,-63.5,1585506799,31.45,31.45,44,1.97,89
Kahului,US,20.89,-156.47,1585506800,24.0,22.07,69,7.2,20
Chipinge,ZW,-20.19,32.62,1585506800,17.85,17.85,57,2.14,23
Livingstonia,MW,-10.61,34.11,1585506800,18.28,18.28,61,1.9,88
Atar,MR,20.52,-13.05,1585506616,32.56,32.56,10,5.52,16
Vila Praia de Âncora,PT,41.81,-8.85,1585506800,16.11,15.87,41,5.1,75
Erenhot,CN,43.65,111.98,1585506800,4.54,4.54,37,5.8,23
Freudenstadt,DE,48.43,8.42,1585506800,6.11,2.89,86,4.1,90
Makakilo City,US,21.35,-158.09,1585506618,25.0,22.21,100,5.54,75
Kangāvar,IR,34.5,47.97,1585506801,8.39,8.39,44,3.35,66
Guider,CM,9.93,13.95,1585506801,35.1,35.1,12,2.16,84
Bilibino,RU,68.05,166.44,1585506801,-13.57,-13.57,86,2.56,100
De-Kastri,RU,51.47,140.78,1585506801,-0.24,-0.24,91,6.16,53
Kongolo,CD,-5.38,27.0,1585506801,23.47,23.47,74,0.72,72
Uyuni,BO,-20.46,-66.83,1585506801,17.62,17.62,12,0.59,30
Linxia Chengguanzhen,CN,35.6,103.21,1585506559,5.59,5.59,36,0.77,68
Yagodnoye,RU,62.55,149.67,1585506802,-16.75,-16.75,81,2.05,99
Syracuse,IT,37.09,15.28,1585506802,13.89,11.02,82,3.1,20
Jaciara,BR,-15.97,-54.97,1585506802,29.41,29.41,67,1.9,98
Guarapari,BR,-20.67,-40.5,1585506802,28.33,28.05,74,4.6,51
Contai,IN,21.78,87.75,1585506802,27.97,27.97,64,4.02,0
Nizhnedevitsk,RU,51.54,38.37,1585506802,9.0,9.0,26,2.0,100
Diffa,NE,13.32,12.61,1585506802,33.03,33.03,15,3.15,84
Nemuro,JP,43.32,145.57,1585506803,0.42,0.42,88,3.08,11
Yamada,JP,39.47,141.95,1585506803,1.13,1.13,80,1.92,1
Inírida,CO,3.87,-67.92,1585506803,32.61,32.61,53,0.5,81
Badlapur,IN,19.15,73.27,1585506803,29.0,29.0,45,1.5,5
Mayo,US,38.89,-76.51,1585506803,15.0,12.44,100,4.1,90
Chake Chake,TZ,-5.25,39.77,1585506803,29.25,29.25,74,4.89,60
Mount Gambier,AU,-37.83,140.77,1585506803,12.0,12.0,100,4.1,75
Šipovo,BA,44.28,17.08,1585506804,7.35,7.35,63,0.92,36
Hualmay,PE,-11.1,-77.61,1585506804,26.3,26.3,60,4.53,96
Lingyuan,CN,41.24,119.4,1585506804,4.45,4.45,49,3.31,0
Sioux Lookout,CA,50.1,-91.92,1585506804,9.0,9.0,23,5.1,75
Doda,IN,33.13,75.57,1585506804,10.07,10.07,34,2.42,2
Portland,US,45.52,-122.68,1585506672,12.22,10.33,76,6.2,75
Coquimbo,CL,-29.95,-71.34,1585506804,21.0,21.0,64,6.7,97
Halifax,CA,44.65,-63.57,1585506795,11.11,9.5,24,3.6,75
Kemijärvi,FI,66.71,27.43,1585506805,-8.03,-8.03,89,2.75,58
Kletskaya,RU,49.31,43.06,1585506805,10.83,10.83,42,5.47,14
Rome,US,43.21,-75.46,1585506785,14.44,11.04,81,7.7,90
Fernandina Beach,US,30.67,-81.46,1585506805,33.89,30.67,54,4.1,1
Kapit,MY,2.02,112.93,1585506805,23.78,23.78,94,0.3,98
Port Hardy,CA,50.7,-127.42,1585506805,7.0,7.0,81,4.1,75
Manadhoo,MV,5.77,73.38,1585506805,28.96,28.96,61,0.89,19
Bolhrad,UA,45.68,28.61,1585506806,11.11,11.06,43,5.1,85
Denpasar,ID,-8.65,115.22,1585506683,27.0,27.0,100,1.5,20
Palmas,BR,-10.21,-48.36,1585506806,34.0,34.0,46,4.1,89
Qian’an,CN,44.99,124.06,1585506806,5.03,5.03,56,6.99,0
Petropavl,KZ,54.88,69.16,1585506806,-2.46,-2.46,97,5.34,68
York,US,40.13,-77.0,1585506628,15.0,11.71,87,2.6,90
Ulkan,RU,57.24,107.32,1585506807,-4.94,-4.94,93,4.28,100
High Level,CA,58.52,-117.14,1585506807,-14.0,-14.0,77,3.1,90
Emba,KZ,48.83,58.14,1585506807,4.16,4.16,62,5.05,14
Grafton,US,42.21,-71.69,1585506573,7.22,5.53,93,5.1,90
Samarai,PG,-10.62,150.67,1585506807,26.23,26.23,86,3.57,96
Jacmel,HT,18.23,-72.53,1585506807,34.0,34.0,38,7.2,20
Arrondissement de Saint-Claude,FR,46.5,5.83,1585506807,6.0,2.92,70,6.2,75
Ende,ID,-8.84,121.66,1585506808,27.9,27.9,73,1.48,24
Nhulunbuy,AU,-12.23,136.77,1585506753,26.0,26.0,88,5.4,66
Waddān,LY,29.16,16.14,1585506808,22.78,22.78,26,5.95,77
Poltava,UA,49.59,34.54,1585506808,9.04,9.04,61,2.3,100
Dingle,PH,11.0,122.67,1585506808,25.42,25.42,80,3.89,48
Sinnamary,GF,5.38,-52.95,1585506808,27.45,27.45,79,6.47,97
Edd,ER,13.93,41.69,1585506808,28.14,28.14,76,4.46,53
Van,TR,38.49,43.38,1585506808,6.0,6.0,60,3.1,75
Chicama,PE,-7.84,-79.15,1585506809,22.0,22.0,83,4.1,43
Kavaratti,IN,10.57,72.64,1585506809,29.16,29.16,71,4.05,0
Pisco,PE,-13.7,-76.22,1585506548,24.44,23.04,30,5.1,85
Itarema,BR,-2.92,-39.92,1585506809,29.0,29.0,83,4.1,75
Inongo,CD,-1.95,18.27,1585506809,27.46,27.46,57,1.33,18
Pimentel,PE,-6.84,-79.93,1585506529,19.0,19.0,29,6.2,54
Hamilton,US,39.18,-84.53,1585506678,19.0,16.73,45,10.3,20
Buraidah,SA,26.33,43.98,1585506809,18.0,18.0,77,5.7,40
Weymouth,US,42.22,-70.94,1585506810,7.0,5.33,100,6.7,100
